Date,Original_USD_EUR_Price,Original_USD_EUR_Price_Pct_Change,Original_USD_EUR_Price_Pct_Change_diff
2018-01-02,1.2011579275131226,,
2018-01-03,1.2063454389572144,0.004318758861985739,
2018-01-04,1.2010425329208374,-0.004395843731925475,-0.008714602593911214
2018-01-05,1.2068840265274048,0.0048636858782689085,0.009259529610194384
2018-01-08,1.2037460803985596,-0.0026000394900196344,-0.007463725368288543
2018-01-09,1.1970456838607788,-0.0055662873149811,-0.0029662478249614654
2018-01-10,1.1929330825805664,-0.0034356260046385367,0.002130661310342563
2018-01-11,1.1956144571304321,0.002247715809897244,0.005683341814535781
2018-01-12,1.2042099237442017,0.007189162495073287,0.004941446685176043
2018-01-15,1.2192296981811523,0.012472721027119826,0.0052835585320465395
2018-01-16,1.2268433570861816,0.006244646858903913,-0.0062280741682159135
2018-01-17,1.227129340171814,0.00023310480835259106,-0.006011542050551322
2018-01-18,1.218397855758667,-0.007115374172313782,-0.007348478980666373
2018-01-19,1.2236607074737549,0.004319485371886866,0.011434859544200648
2018-01-22,1.2255502939224243,0.0015442078323903985,-0.002775277539496468
2018-01-23,1.2256253957748413,6.128010640571446e-05,-0.001482927725984684
2018-01-24,1.2310267686843872,0.004407034097177132,0.004345753990771417
2018-01-25,1.239111304283142,0.00656731096708385,0.0021602768699067187
2018-01-26,1.239234209060669,9.918784301454764e-05,-0.006468123124069303
2018-01-29,1.2428072690963745,0.0028832806660605836,0.002784092823046036
2018-01-30,1.2381141185760498,-0.0037762496543305435,-0.006659530320391127
2018-01-31,1.2409565448760986,0.002295770848100842,0.006072020502431386
2018-02-01,1.241865873336792,0.000732764144278919,-0.001563006703821923
2018-02-02,1.2510008811950684,0.007355873169887062,0.006623109025608143
2018-02-05,1.244694471359253,-0.005041091441751022,-0.012396964611638084
2018-02-06,1.2367818355560303,-0.006357090824531175,-0.001315999382780153
2018-02-07,1.2381294965744019,0.0010896513674667485,0.007446742191997924
2018-02-08,1.2268133163452148,-0.009139738824166632,-0.01022939019163338
2018-02-09,1.2260762453079224,-0.0006008013016098879,0.008538937522556744
2018-02-12,1.2252799272537231,-0.0006494849380261902,-4.8683636416302356e-05
2018-02-13,1.2303755283355713,0.004158724034000194,0.004808208972026384
2018-02-14,1.235376238822937,0.004064377397143604,-9.43466368565904e-05
2018-02-15,1.2467273473739624,0.009188381801677359,0.005124004404533755
2018-02-16,1.2503595352172852,0.0029133778536047927,-0.006275003948072566
2018-02-19,1.241187572479248,-0.0073354603053779055,-0.010248838158982698
2018-02-20,1.2398641109466553,-0.0010662864839592334,0.006269173821418672
2018-02-21,1.233532428741455,-0.0051067549655630096,-0.004040468481603776
2018-02-22,1.2281843423843384,-0.004335586347391951,0.0007711686181710586
2018-02-23,1.2326656579971313,0.0036487320821019242,0.007984318429493875
2018-02-26,1.228712558746338,-0.0032069517189410313,-0.0068556838010429555
2018-02-27,1.2315573692321777,0.0023152774549177746,0.005522229173858806
2018-02-28,1.2230321168899536,-0.006922334724479118,-0.009237612179396892
2018-03-01,1.2191256284713745,-0.003194101254276882,0.0037282334702022357
2018-03-02,1.2270842790603638,0.006528162810397475,0.009722264064674357
2018-03-05,1.2315422296524048,0.003632962028863096,-0.0028952007815343794
2018-03-06,1.2336541414260864,0.0017148512838880414,-0.0019181107449750545
2018-03-07,1.2416653633117676,0.0064938961550604635,0.004779044871172422
2018-03-08,1.2414649724960327,-0.00016138874583759844,-0.006655284900898062
2018-03-09,1.2306632995605469,-0.008700747242001095,-0.008539358496163496
2018-03-12,1.2308752536773682,0.00017222754338819257,0.008872974785389287
2018-03-13,1.2339584827423096,0.0025049078334542507,0.002332680290066058
2018-03-14,1.239234209060669,0.004275448803297444,0.0017705409698431929
2018-03-15,1.2375624179840088,-0.0013490517486015596,-0.005624500551899003
2018-03-16,1.2309207916259766,-0.005366700104590616,-0.004017648355989056
2018-03-19,1.228078842163086,-0.002308799625633573,0.003057900478957043
2018-03-20,1.2336845397949219,0.004564607286908551,0.006873406912542124
2018-03-21,1.2251899242401123,-0.006885565378181413,-0.011450172665089964
2018-03-22,1.2347661256790161,0.007816095488087926,0.01470166086626934
2018-03-23,1.2324985265731812,-0.0018364604103372484,-0.009652555898425175
2018-03-26,1.235437273979187,0.0023843820845586006,0.004220842494895849
2018-03-27,1.2457488775253296,0.008346521319475997,0.005962139234917396
2018-03-28,1.240787148475647,-0.003982928774167616,-0.012329450093643612
2018-03-29,1.2310267686843872,-0.00786628053268501,-0.003883351758517395
2018-03-30,1.2302846908569336,-0.0006028120966424799,0.0072634684360425306
2018-04-02,1.231420874595642,0.0009235128642599566,0.0015263249609024365
2018-04-03,1.229271411895752,-0.0017455142626162656,-0.0026690271268762222
2018-04-04,1.2278525829315186,-0.0011542031731180957,0.0005913110894981699
2018-04-05,1.228682279586792,0.000675729861065566,0.0018299330341836617
2018-04-06,1.2251598834991455,-0.0028668079178540973,-0.0035425377789196633
2018-04-09,1.227144479751587,0.0016198671529901176,0.004486675070844215
2018-04-10,1.2322403192520142,0.004152599457122541,0.0025327323041324235
2018-04-11,1.2363078594207764,0.0033009309184357516,-0.0008516685386867895
2018-04-12,1.2371643781661987,0.0006928037696238842,-0.0026081271488118674
2018-04-13,1.2329696416854858,-0.003390605609685071,-0.004083409379308955
2018-04-16,1.233258605003357,0.00023436369242313404,0.0036249693021082052
2018-04-17,1.2385127544403076,0.004260379303768547,0.004026015611345413
2018-04-18,1.237317442893982,-0.0009651184794344791,-0.005225497783203026
